HID_CardIndexID,HID_CardUniqueID,HID_cardCSNNumber,HID_cardDoorAccessGroup1,HID_cardDoorAccessGroup2,HID_cardDoorAccessGroup3,HID_cardDoorAccessGroup4,HID_cardDoorAccessGroup5,HID_cardDoorAccessGroup6,HID_cardDoorAccessGroup7,HID_cardDoorAccessGroup8,HID_CardStartDateTime,HID_CardExpDateTime,HID_DeletedStatus,HID_EmployeeHIDcardNO,HID_EmployeeAlotstatus,HID_EmpType
1,1011,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1010,1,Employee
2,1012,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1011,1,Employee
3,10003,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1012,1,Employee
4,10004,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1013,1,Employee
5,10005,,1,0,0,0,0,0,0,0,NULL,NULL,0,1014,1,Employee
7,10007,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1016,1,Employee
8,10008,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1017,1,Employee
12,10012,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1021,1,Employee
13,10013,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1022,1,Employee
15,10015,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1024,1,Employee
16,10016,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1025,1,Employee
18,10018,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1027,1,Employee
20,10020,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1029,1,Employee
22,10022,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1031,1,Employee
23,10023,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1032,1,Employee
26,10026,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1035,1,Employee
27,10027,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1036,1,Employee
30,10030,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1039,1,Employee
31,10031,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1040,1,Employee
34,10034,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1043,1,Employee
36,10036,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1045,1,Employee
38,10038,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1047,1,Employee
39,10039,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1048,1,Employee
42,10042,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1051,1,Employee
43,10043,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1052,1,Employee
44,10044,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1053,1,Employee
47,10047,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1056,1,Employee
49,10049,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1058,1,Employee
50,10050,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1059,1,Employee
52,10052,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1061,1,Employee
54,10054,,1,0,0,0,0,0,0,0,NULL,NULL,0,1063,1,Employee
56,10056,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1065,1,Employee
58,10058,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1067,1,Employee
59,10059,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1068,1,Employee
61,10061,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1070,1,Employee
62,10062,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1071,1,Employee
64,10064,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1073,1,Employee
66,10066,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1075,1,Employee
68,10068,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1077,1,Employee
70,10070,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1079,1,Employee
71,10071,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1080,1,Employee
73,10073,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1082,1,Employee
75,10075,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1084,1,Employee
76,10076,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1085,1,Employee
79,10079,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1088,1,Employee
81,10081,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1090,1,Employee
83,10083,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1092,1,Employee
84,10084,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1093,1,Employee
85,10085,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1094,1,Employee
87,10087,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1096,1,Employee
88,10088,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1097,1,Employee
90,10090,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1099,1,Employee
92,10092,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1101,1,Employee
93,10093,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1102,1,Employee
96,10096,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1105,1,Employee
97,10097,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1106,1,Employee
99,10099,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1108,1,Employee
102,10102,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1111,0,Employee
103,10103,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1112,0,Employee
106,10106,1114,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1115,1,Employee
108,10108,1114,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1117,1,Employee
110,10110,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1119,1,Employee
113,10113,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1122,1,Employee
114,10105,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1123,1,Employee
118,10118,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1127,1,Employee
120,10120,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1129,1,Employee
122,10122,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1131,1,Employee
125,10125,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1134,1,Employee
126,10126,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1135,1,Employee
128,10128,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1137,0,Employee
129,10129,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1138,0,Employee
130,10131,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1140,0,Employee
6,10006,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1015,1,Employee
9,10009,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1018,1,Employee
10,10010,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1019,1,Employee
11,10011,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1020,1,Employee
14,10014,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1023,1,Employee
17,10017,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1026,1,Employee
19,10019,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1028,1,Employee
21,10021,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1030,1,Employee
24,10024,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1033,1,Employee
25,10025,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1034,1,Employee
28,10028,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1037,1,Employee
29,10029,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1038,1,Employee
32,10032,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1041,1,Employee
33,10033,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1042,1,Employee
35,10035,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1044,1,Employee
37,10037,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1046,1,Employee
40,10040,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1049,1,Employee
41,10041,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1050,1,Employee
45,10045,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1054,1,Employee
46,10046,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1055,1,Employee
48,10048,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1057,1,Employee
51,10051,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1060,1,Employee
53,10053,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1062,1,Employee
55,10055,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1064,1,Employee
57,10057,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1066,1,Employee
60,10060,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1069,1,Employee
63,10063,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1072,1,Employee
65,10065,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1074,1,Employee
67,10067,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1076,1,Employee
69,10069,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1078,1,Employee
72,10072,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1081,1,Employee
74,10074,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1083,1,Employee
77,10077,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1086,1,Employee
78,10078,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1087,1,Employee
80,10080,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1089,1,Employee
82,10082,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1091,1,Employee
86,10086,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1095,1,Employee
89,10089,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1098,1,Employee
91,10091,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1100,1,Employee
94,10094,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1103,1,Employee
95,10095,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1104,1,Employee
98,10098,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1107,1,Employee
100,10100,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1109,1,Employee
101,10101,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1110,0,Employee
104,10104,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1113,0,Employee
105,10114,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1114,0,Employee
107,10107,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1116,1,Employee
111,10111,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1120,1,Employee
115,10115,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1124,1,Employee
119,10119,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1128,1,Employee
123,10123,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1132,1,Employee
132,10133,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1142,0,Employee
134,10135,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1144,0,Employee
135,10136,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1145,1,Employee
137,10138,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1147,1,Employee
138,10139,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1148,0,Employee
139,10140,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1149,1,Employee
142,10143,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1152,1,Employee
143,10144,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1153,1,Employee
144,10145,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1154,1,Employee
146,10147,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1156,1,Employee
147,10148,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1157,1,Employee
148,10149,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1158,1,Employee
149,10150,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1159,1,Employee
150,10151,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1160,1,Employee
151,10152,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1161,1,Employee
152,10153,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1162,1,Employee
154,10155,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1164,1,Employee
155,10156,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1165,1,Employee
157,10158,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1167,1,Employee
159,10160,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1169,1,Employee
301,10130,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1139,0,Employee
109,10109,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1118,1,Employee
112,10112,,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1121,1,Employee
116,10116,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1125,1,Employee
117,10117,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1126,1,Employee
121,10121,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1130,1,Employee
124,10124,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1133,1,Employee
127,10127,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1136,1,Employee
131,10132,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1141,0,Employee
133,10134,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1143,0,Employee
136,10137,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1146,1,Employee
140,10141,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1150,1,Employee
141,10142,1118,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1151,1,Employee
145,10146,1152,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1155,1,Employee
153,10154,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1163,1,Employee
160,10161,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1170,1,Employee
161,10162,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1171,1,Employee
162,10163,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1172,1,Employee
163,10164,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1173,1,Employee
165,10166,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1175,1,Employee
166,10167,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1176,1,Employee
167,10168,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1177,1,Employee
168,10169,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1178,1,Employee
169,10170,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1179,1,Employee
170,10171,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1180,1,Employee
171,10172,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1181,1,Employee
173,10174,1161,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1183,1,Employee
